trade_no,entry_time,exit_time,direction,entry_price,exit_price,outcome,holding_hours,pnl_raw,commission,funding_fee,interest_fee,total_cost,pnl_net,pnl_pct,result,capital,leverage
67,2023-02-25 04:00:00,2023-02-25 08:00:00,SHORT,1598.53,1603.99,FLIP,4.0,-14.62,4.29,-0.43,0.21,4.07,-18.69,-0.44,LOSS,4260.51,1
68,2023-02-25 08:00:00,2023-02-25 16:00:00,LONG,1603.99,1597.06,FLIP,8.0,-18.41,4.25,0.85,0.43,5.53,-23.93,-0.56,LOSS,4236.58,1
69,2023-02-25 16:00:00,2023-02-26 04:00:00,SHORT,1597.06,1602.75,FLIP,12.0,-15.09,4.24,-1.27,0.64,3.61,-18.7,-0.44,LOSS,4217.87,1
70,2023-02-26 04:00:00,2023-03-03 04:00:00,LONG,1602.75,1565.43,FLIP,120.0,-98.21,4.17,12.51,6.25,22.93,-121.14,-2.87,LOSS,4096.73,1
71,2023-03-03 04:00:00,2023-03-13 00:00:00,SHORT,1565.43,1580.33,FLIP,236.0,-38.99,4.12,-24.29,12.14,-8.03,-30.97,-0.76,LOSS,4065.77,1
72,2023-03-13 00:00:00,2023-04-21 20:00:00,LONG,1580.33,1842.69,FLIP,956.0,674.98,4.4,105.24,52.62,162.26,512.72,12.61,WIN,4578.49,1
73,2023-04-21 20:00:00,2023-04-26 12:00:00,SHORT,1842.69,1914.58,FLIP,112.0,-178.62,4.67,-13.07,6.53,-1.87,-176.76,-3.86,LOSS,4401.73,1
74,2023-04-26 12:00:00,2023-04-26 20:00:00,LONG,1914.58,1828.74,FLIP,8.0,-197.35,4.3,0.86,0.43,5.59,-202.95,-4.61,LOSS,4198.79,1
75,2023-04-26 20:00:00,2023-04-27 04:00:00,SHORT,1828.74,1898.42,FLIP,8.0,-159.99,4.28,-0.86,0.43,3.85,-163.84,-3.9,LOSS,4034.95,1
76,2023-04-27 04:00:00,2023-05-01 00:00:00,LONG,1898.42,1870.08,FLIP,92.0,-60.23,4.0,9.21,4.61,17.82,-78.06,-1.93,LOSS,3956.89,1
77,2023-05-01 00:00:00,2023-05-04 00:00:00,SHORT,1870.08,1905.12,FLIP,72.0,-74.14,3.99,-7.19,3.59,0.4,-74.54,-1.88,LOSS,3882.35,1
78,2023-05-04 00:00:00,2023-05-04 20:00:00,LONG,1905.12,1876.66,FLIP,20.0,-58.0,3.85,1.93,0.96,6.74,-64.74,-1.67,LOSS,3817.61,1
79,2023-05-04 20:00:00,2023-05-05 04:00:00,SHORT,1876.66,1896.58,FLIP,8.0,-40.52,3.84,-0.77,0.38,3.45,-43.98,-1.15,LOSS,3773.64,1
80,2023-05-05 04:00:00,2023-05-06 16:00:00,LONG,1896.58,1877.32,FLIP,36.0,-38.32,3.75,3.38,1.69,8.82,-47.14,-1.25,LOSS,3726.49,1
