trade_no,entry_time,exit_time,direction,entry_price,exit_price,outcome,holding_hours,pnl_raw,commission,funding_fee,interest_fee,total_cost,pnl_net,pnl_pct,result,capital,leverage
209,2025-07-01 08:00:00,2025-07-02 16:00:00,SHORT,2465.03,2498.82,FLIP,32.0,-132.64,9.74,-7.79,3.9,5.85,-138.48,-1.43,LOSS,9537.49,1
210,2025-07-02 16:00:00,2025-09-06 20:00:00,LONG,2498.82,4255.48,FLIP,1588.0,6704.81,12.89,511.73,255.86,780.48,5924.33,62.12,WIN,15461.82,1
211,2025-09-06 20:00:00,2025-09-07 00:00:00,SHORT,4255.48,4273.15,FLIP,4.0,-64.2,15.49,-1.55,0.77,14.72,-78.92,-0.51,LOSS,15382.9,1
212,2025-09-07 00:00:00,2025-09-22 04:00:00,LONG,4273.15,4305.87,FLIP,364.0,117.79,15.44,140.52,70.26,226.22,-108.43,-0.7,LOSS,15274.46,1
213,2025-09-22 04:00:00,2025-10-01 12:00:00,SHORT,4305.87,4298.21,FLIP,224.0,27.17,15.26,-85.46,42.73,-27.47,54.64,0.36,WIN,15329.1,1
214,2025-10-01 12:00:00,2025-10-09 16:00:00,LONG,4298.21,4314.78,FLIP,196.0,59.1,15.36,75.26,37.63,128.24,-69.15,-0.45,LOSS,15259.96,1
215,2025-10-09 16:00:00,2025-10-10 00:00:00,SHORT,4314.78,4368.09,FLIP,8.0,-188.54,15.35,-3.07,1.54,13.82,-202.36,-1.33,LOSS,15057.6,1
216,2025-10-10 00:00:00,2025-10-10 04:00:00,LONG,4368.09,4347.12,FLIP,4.0,-72.29,15.02,1.5,0.75,17.27,-89.56,-0.59,LOSS,14968.03,1
217,2025-10-10 04:00:00,2025-10-27 00:00:00,SHORT,4347.12,4158.46,FLIP,404.0,649.6,14.64,-147.9,73.95,-59.31,708.9,4.74,WIN,15676.94,1
218,2025-10-27 00:00:00,2025-10-28 04:00:00,LONG,4158.46,4094.31,FLIP,28.0,-241.84,15.56,10.89,5.44,31.89,-273.73,-1.75,LOSS,15403.21,1
219,2025-10-28 04:00:00,2025-10-28 08:00:00,SHORT,4094.31,4117.25,FLIP,4.0,-86.3,15.45,-1.54,0.77,14.67,-100.98,-0.66,LOSS,15302.23,1
220,2025-10-28 08:00:00,2025-10-28 16:00:00,LONG,4117.25,4096.86,FLIP,8.0,-75.78,15.26,3.05,1.53,19.84,-95.63,-0.62,LOSS,15206.6,1
221,2025-10-28 16:00:00,2025-12-04 04:00:00,SHORT,4096.86,3210.12,FLIP,876.0,3291.38,13.56,-296.98,148.49,-134.93,3426.31,22.53,WIN,18632.91,1
222,2025-12-04 04:00:00,2025-12-04 08:00:00,LONG,3210.12,3190.1,FLIP,4.0,-116.2,18.57,1.86,0.93,21.36,-137.57,-0.74,LOSS,18495.35,1
223,2025-12-04 08:00:00,2025-12-04 16:00:00,SHORT,3190.1,3208.15,FLIP,8.0,-104.65,18.55,-3.71,1.85,16.69,-121.34,-0.66,LOSS,18374.0,1
224,2025-12-04 16:00:00,2025-12-04 20:00:00,LONG,3208.15,3119.26,FLIP,4.0,-509.1,18.12,1.81,0.91,20.84,-529.94,-2.88,LOSS,17844.07,1
225,2025-12-04 20:00:00,2025-12-09 16:00:00,SHORT,3119.26,3245.88,FLIP,116.0,-724.34,18.21,-52.8,26.4,-8.19,-716.15,-4.01,LOSS,17127.92,1
226,2025-12-09 16:00:00,2025-12-11 16:00:00,LONG,3245.88,3179.24,FLIP,48.0,-351.65,16.95,20.34,10.17,47.47,-399.11,-2.33,LOSS,16728.8,1
227,2025-12-11 16:00:00,2025-12-11 20:00:00,SHORT,3179.24,3194.52,FLIP,4.0,-80.4,16.77,-1.68,0.84,15.93,-96.33,-0.58,LOSS,16632.47,1
228,2025-12-11 20:00:00,2025-12-12 16:00:00,LONG,3194.52,3071.4,FLIP,20.0,-641.03,16.31,8.16,4.08,28.55,-669.58,-4.03,LOSS,15962.89,1
229,2025-12-12 16:00:00,2025-12-31 16:00:00,SHORT,3071.4,2971.15,OPEN,456.0,521.03,15.7,-179.01,89.5,-73.8,594.83,3.73,WIN,16557.72,1
