trade_no,entry_time,exit_time,direction,entry_price,exit_price,rsi_entry,rsi_exit,outcome,holding_hours,pnl_raw,commission,funding_fee,interest_fee,total_cost,pnl_net,pnl_pct,result,capital,leverage
35,2024-02-29 07:00:00,2024-02-29 22:00:00,LONG,8.61,8.05,62.22,34.47,SL,15.0,-140.85,2.08,0.78,0.0,2.86,-143.71,-6.69,LOSS,2004.36,1
36,2024-03-01 23:00:00,2024-03-04 13:00:00,LONG,8.62,10.27,61.35,55.15,TP,62.0,383.1,2.2,3.4,0.0,5.6,377.5,18.83,WIN,2381.86,1
37,2024-03-04 16:00:00,2024-03-05 19:00:00,LONG,10.16,9.35,61.63,25.32,SL,27.0,-190.11,2.29,1.54,0.0,3.83,-193.94,-8.14,LOSS,2187.92,1
38,2024-03-05 21:00:00,2024-03-06 07:00:00,SHORT,8.87,10.28,24.95,61.52,SL,10.0,-348.93,2.36,-0.59,0.0,1.77,-350.7,-16.03,LOSS,1837.22,1
39,2024-03-06 19:00:00,2024-03-17 07:00:00,LONG,10.36,9.35,61.53,31.6,SL,252.0,-180.27,1.75,11.01,0.0,12.75,-193.02,-10.51,LOSS,1644.2,1
40,2024-03-18 11:00:00,2024-03-18 17:00:00,LONG,10.38,9.68,60.22,41.5,SL,6.0,-111.15,1.59,0.24,0.0,1.83,-112.98,-6.87,LOSS,1531.22,1
41,2024-03-18 19:00:00,2024-04-12 18:00:00,SHORT,9.7,6.68,39.22,7.05,TP,599.0,477.28,1.29,-19.36,0.0,-18.06,495.35,32.35,WIN,2026.57,1
42,2024-04-12 20:00:00,2024-05-22 00:00:00,SHORT,6.92,7.7,23.42,62.06,SL,940.0,-228.82,2.14,-50.31,0.0,-48.17,-180.65,-8.91,LOSS,1845.92,1
43,2024-05-22 02:00:00,2024-05-23 12:00:00,LONG,7.65,7.35,62.96,39.67,SL,34.0,-71.43,1.81,1.54,0.0,3.35,-74.78,-4.05,LOSS,1771.14,1
44,2024-05-23 15:00:00,2024-05-26 14:00:00,SHORT,7.19,7.56,30.3,69.49,SL,71.0,-90.22,1.82,-3.22,0.0,-1.41,-88.81,-5.01,LOSS,1682.33,1
45,2024-05-26 16:00:00,2024-05-28 07:00:00,LONG,7.58,7.36,69.02,34.94,SL,39.0,-50.04,1.66,1.62,0.0,3.27,-53.32,-3.17,LOSS,1629.01,1
46,2024-05-28 13:00:00,2024-06-07 18:00:00,SHORT,7.37,6.24,39.26,19.72,TP,245.0,248.2,1.5,-9.22,0.0,-7.71,255.92,15.71,WIN,1884.93,1
47,2024-06-07 20:00:00,2024-07-31 17:00:00,SHORT,6.59,5.49,23.78,41.64,OPEN,1293.0,314.49,1.73,-55.85,0.0,-54.12,368.61,19.56,WIN,2253.54,1
